"date","username","tweet"
"2014-09-02","_dulcemdll","examonterrey brunomars elultimoboletoenexa dulce anaid medellã­n villarreal monterrey examonterrey brunomars elultimoboletoenexa dulce anaid medellã­n villarreal monterrey ã"
"2014-09-02","adanantioquia","vamos al congreso de administraciã n medellã­n en dias http rec1n1uvus"
"2014-09-02","areizamontoya","itm_medellin gracias por la obra el dã­a en que me quieras semana de vive argentina"
"2014-09-02","arllias","aprendices del sena en medellã­n protestan por contrataciã n de instructores http 2hktafzetm vã­a elcolombiano"
"2014-09-02","c_ami30","en quibdo andan ya casi su san pacho bunde rebulu y bno yo medellin"
"2014-09-02","canoherney","apuesto que independiente medellã­n vencerã fortaleza 365scores cuã l es tu apuesta http cbbtvcrzgm"
"2014-09-02","chinoradioytv","repost from ugglytruth with repostapp y como yo no juego maã ana para medellã­n contacto paraâ http ffwn8iqx3c"
"2014-09-02","davidgomez41","oscartobonc quienes completaron amarillas y no pueden jugar el sã bado con medellã­n"
"2014-09-02","diegopachanga","ojala todo salga bien para poder irme a vivir medellin"
"2014-09-02","inmueblesveracr","inmuebles lote en venta de 200m2 medellã­n veracruz http wvydq7ipwd mexico"
"2014-09-02","kevinroldan","saliendo para medellã­n ðÿ muchas gracias dios por este dã­a aeropuerto bogota http gee64ysnsk"
"2014-09-02","maracuyosa","no echo madres del metro de medellã­n porque hasta colapsado es mejor que transmilenio"
"2014-09-02","og_medellin","x3redbone3x half sleeve elbow to wrist on right arm and a few things my left bicep x3redbone3x shit i don't have any get me a connect and got you on the mobility"
"2014-09-02","oriana_sz07","quiero unas vacaciones b ventura cali cartagena santa martha y por ultimo mi adorado medellin bien merecidas que si las tengoo"
"2014-09-02","sara_isabell","maytelascurain hermosa te quiero mucho un beso desde medellin colombia"
"2014-09-02","tatianaflorez97","â gracias medellin"
"2014-09-02","vminternacional","pauta_medellin cheka el artista de miami dshonelvillano villanomuzik new video arenosa tributo a barranquilla http df92myepdm"
"2014-09-02","ximenitago","â la lã­nea b del metro de medellã­n estã colapsado"
"2014-09-05","adnmedellin","shaggyrpo tranquilo y fabuloso atardecer de hoy sep en medellã­n ðÿœ http j7iwt4tovb"
"2014-09-05","adri_vasquezb","aterrizaje al aeropuerto de medellã­n colombia primera fase la gira ðÿ šðÿ ðÿœ hyperlapse â http phpab0dxg1"
"2014-09-05","afrolat","proximamente gracias a nicolasmaduro la empresa hermana de conviasa aeropostal inaugurara ruta medellin y manaos http vgyvopqik0"
"2014-09-05","alcaldiademed","medellã­n aumentarã­a su producciã n alimentaria noticia de elmundomedellin http jhgq0qc5lf"
"2014-09-05","alejandrohtdo","medellã­n se posiciona como la capital mundial de las aves rm8t9iyan7 en el centro de medellã­n todavã­a estã n mundial"
"2014-09-05","andreagarcia7","yo aquã­ reunida con gente sãºper culta que adora mi trabajo medellin http zb017oygwt"
"2014-09-05","angelicacortess","fotografã­a parque de diversiones medellin http fmp9gqovij"
"2014-09-05","angie22_angel","holaaa soy de colombia medellin cancer alfonsoleon me encanta todo lo qe nos enseã as tienes una luz inigualable"
"2014-09-05","annyb55","la doble del presidente santos estã en medellã­n http zjcsq5wrpk vã­a noticiascaracol"
"2014-09-05","bluefirecol","medellã­n una alternativa deportiva expofitnesscolombia bluefire bf gt http kh9l8jzuvs alcaldiademed"
